漢字,羅馬字
襻,phàn
跕,liam
躡,neh/nih
鑱,chhîm
饞,sâi
鑱仔,chhîm-á
蠻皮,bân-phôe/bân-phê
蠻皮癬,bân-phôe-sián/bân-phê-sián
觀光,koan-kong
觀念,koan-liām
觀前顧後,koan-chêng-kò͘-āu
觀音,Koan-im
饞食,sâi-chia̍h
觀音竹,koan-im-tek
躡跤尾,neh-kha-bóe/nih-kha-bé
觀察,koan-chhat
讚,chán
驢,lî/lû
鬮,khau
驢仔,lî-á/lû-á
鑼,lô
鑽,chǹg
鱸,lô͘
鑽仔,chǹg-á
鑽耳,chǹg hīⁿ/chǹg hī
鑽空,chǹg-khang
鱷魚,kho̍k-hî/kho̍k-hû
鱸魚,lô͘-hî/lô͘-hû
鑼鼓,lô-kó͘
鸕鶿,lô͘-chî
鱸鰻,lô͘-môa
戇,gōng
鑿,chha̍k
戇人,gōng-lâng
戇大呆,gōng-tōa-tai
鑿仔,chha̍k-á
鑿目,chha̍k-ba̍k
戇呆,gōng-tai
戇的,gōng--ê
戇直,gōng-ti̍t
鸚哥,eng-ko
鸚哥鼻,eng-ko-phīⁿ
戇神,gōng-sîn
戇猴,gōng-kâu
戇想,gōng-siūⁿ
戇話,gōng-ōe
戇錢,gōng-chîⁿ
戇頭戇面,gōng-thâu-gōng-bīn
戇膽,gōng-táⁿ
戇戇,gōng-gōng
鑿鑿,chha̍k-chha̍k
鬱,ut
鬱卒,ut-chut
鬱傷,ut-siong
鬱歲,ut-hòe/ut-hè
廍,phō͘
揻,ui
砛,gîm
砛仔,gîm-á
砛簷,gîm-chîⁿ
硓𥑮石,ló͘-kó͘-chio̍h
粩,láu
襇,kéng
贌,pa̍k
贌田,pa̍k-chhân
蹽,liâu
蹽溪仔,liâu khe-á/liâu khoe-á
蹽落去,liâu--lo̍h-khì
躼,lò
躼跤,lò-kha
躼跤仔,lò-kha-á
㧎,khê
㧣,tu
㨂,tàng
㨨,liû
𠯗,chi̍p
𠯗一下,chi̍p--chi̍t-ē
㤉,gê
㤉潲,gê-siâu
䀐,siam
㾀,khiap
㾀勢,khiap-sì
㾀勢命,khiap-sì-miā
㧻,tok
𧉟,tâi
䘥仔,kah-á
𢯾,mo͘h
𢯾壁鬼,mo͘h-piah-kúi
𠞩,chûi
𠞭,liô
𠢕,gâu
𠢕人,gâu-lâng
𠢕早,gâu-chá
𠢕吮食,gâu-chhńg-chia̍h
𠢕開,gâu khai
㔂,lân
㔂甘蔗,lân kam-chià
𢲸,lō͘
𨂿,oáiⁿ
𨂿著,oáiⁿ-tio̍h
䫌,phóe
𢼌,pa
𣮈頭山,khu̍t-thâu-soaⁿ
𩑾,chhih
𡳞,lān
𡳞𦉎,lān-sui
𡳞核,lān-hu̍t
𡳞神,lān-sîn
𡳞脬,lān-pha
𡳞鳥,lān-chiáu
𡳞蔓,lān-mōa
𩵱,ngó͘
𩵱仔,ngó͘-á
𪁎,chhio
𪁎哥,chhio-ko
𪁎趒,chhio-tiô
𪁎雞,chhio-ke/chhio-koe
𩛩,kauh
𩛩肥,kauh-pûi
𥐵,phiat
𥐵仔,phiat-á
𡢃,kán
𥰔,phín
𥰔仔,phín-á
𥴊,kám
𥴊仔,kám-á
𥴊仔店,kám-á-tiàm
𥴊壺,kám-ô͘
䖙,the
䖙椅,the-í
𤆬,chhōa
𤆬路,chhōa-lō͘
𤆬路雞,chhōa-lō͘-ke/chhōa-lō͘-koe
𤆬頭,chhōa-thâu
䘼,ńg
䆀,bái
䆀才,bái-châi
䆀手,bái-chhiú
䆀味,bái bī
䆀指,bái-cháiⁿ
䆀猴,bái-kâu
𨑨迌,chhit-thô
𨑨迌人,chhit-thô-lâng
𨑨迌囡仔,chhit-thô-gín-á
𨑨迌物,chhit-thô-mi̍h/chhit-thô-mn̍gh
𨑨迌物仔,chhit-thô-mih-á
𨑨迌查某,chhit-thô-cha-bó͘
𥍉,liap
𥍉,nih
𥍉𥍉看,nih-nih-khòaⁿ
𥍉目,nih-ba̍k
𤉙,kûn
㨑,chang
𣛮,siāⁿ
𣛮籃,siāⁿ-nâ
𤶃,thiāu
𤶃仔,thiāu-á
𧮙,chhoh
𪐞,tò͘
𪐞紙,tò͘-chóa
𤲍,kheh/khoeh
𤲍燒,kheh-sio/khoeh-sio
𦊓,lêng
㴘,bāu
㴘麵,bāu mī
䖳,thē
𩸙,tāi
𩸙仔,tāi-á
㧒,hiat
䠡,chhê
𩚨,khiū
𩚨嗲嗲,khiū-teh-teh
㧌,mau
𣁳,khat
𣁳仔,khat-á
㨻,chāⁿ
㨻魚,chāⁿ hî/chāⁿ hû
𧿳𧿳跳,phu̍t-phu̍t-thiàu
𧌄蜅蠐,am-po͘-chê
必,pit
必叉,pit-chhe
必痕,pit-hûn
必開,pit--khui
䢢拄䢢,chhiāng-tú-chhiāng
㴙㴙落,chha̍p-chha̍p-lo̍h
㴙㴙滴,chha̍p-chha̍p-tih
𪜶,in
𠕇,tēng
𠕇硞硞,tēng-khok-khok
𠕇篤,tēng-tauh
𤺪,siān
𧿬,thún
𧿬踏,thún-ta̍h
𢪱,bu̍t
𣻸,siûⁿ
㽎,sìm
𦜆,ham
寢,chhím
𨂾,làm
𫝏,gàn
𫝏水,gàn-chúi
𫝏鋼,gàn-kǹg
𫝺,hiù
𫞼,chhāi
𫝻,hôe
𫟂,hân
霧水,bū-chúi
𫝛,siāng
𫝛人,siāng-lâng
𫝛勻,siāng-ûn
𫝛年,siāng-nî
𫝛時,siāng-sî
𫝛途,siāng-tô͘
𫝛款,siāng-khoán
𬦰,peh
𬦰山,peh-soaⁿ
𬦰樓梯,peh lâu-thui
𬦰懸𬦰低,peh-koân-peh-kē
黃梔仔花,n̂g-ki-á-hoe
塌,lap
娘囝,niû-kiáⁿ
揜貼,iap-thiap
腥,chhèⁿ/chhìⁿ
撇步,phiat-pō͘
跤,kha
嫣,ian
中央,tiong-ng
託,thok
奶,ne
物仔,mih-á
袂翻捙,bē-hoan-chhia/bōe-hoan-chhia
坦笑,thán-chhiò
水沖,chúi-chhiâng
肥朒朒,pûi-chut-chut
一口灶,chi̍t kháu chàu
一大拖,chi̍t-tōa-thoa
大伯仔,tōa-peh-á
大端,tāi-toan
小食,sió-chia̍h
山空,soaⁿ-khang
山球,soaⁿ-kiû
山腹,soaⁿ-pak
五四三,gō͘-sì-saⁿ
內山斗底,lāi-soaⁿ-táu-té/lāi-soaⁿ-táu-tóe
內籬仔,lāi-lî-á
公道人,kong-tō-lâng
勼跤勼手,kiu-kha-kiu-chhiú
反起反倒,hoán-khí-hoán-tó
心內話,sim-lāi-ōe
手形,chhiú-hêng
手捗,chhiú-pô͘
手梳攑懸,chhiú-se-gia̍h-koân
月內人,goe̍h-lāi-lâng/ge̍h-lāi-lâng
毋是款,m̄-sī-khoán
水崩山,chúi-pang-soaⁿ
水跤,chúi-kha
火引,hóe-ín/hé-ín
王見王,ông-kiàn-ông
冬筍,tang-sún
枷車藤,kha-chhia-tîn
半中央,pòaⁿ-tiong-ng
半晝,pòaⁿ-tàu
外才,gōa-châi
布棚,pò͘-pêⁿ/pò͘-pîⁿ
平階,pêⁿ-kai/pîⁿ-kai
必巡,pit-sûn
本居地,pún-ki-tē/pún-ku-tōe
白墨,pe̍h-ba̍k
交仗,kau-tiōng
伨頭,thīn-thâu
先的,sian--ê
好得,hó-tit
字姓,jī-sèⁿ/lī-sìⁿ
竹管仔飯,tek-kóng-á-pn̄g
考試單,khó-chhì-toaⁿ
自本,chū-pún
卵殼,nn̄g-khak
含血霧天,kâm-hoeh-bū-thiⁿ/kâm-huih-bū-thiⁿ
扳仔,pán-á
抑無,iah-bô/ah-bô
汫水,chiáⁿ-chúi
沙耙,soa-pê
牢鼎,tiâu-tiáⁿ
芒種雨,bông-chéng-hō͘
事事項項,sū-sū-hāng-hāng
佮股,kap-kó͘
奉待,hōng-thāi
孤查某囝,ko͘-cha-bó͘-kiáⁿ
定親,tēng-chhin
抾丁錢,khioh-teng-chîⁿ
拊仔,hú-á
拍火車,phah-hóe-chhia/phah-hé-chhia
明品,bêng-phín
肥底,pûi-té/pûi-tóe
芥辣,kài-loa̍h
門栱,mn̂g-kông
門擋仔,mn̂g-tòng-á
雨撇仔,hō͘-phiat-á
前世人,chêng-sì-lâng
厚操煩,kāu-chhau-hoân
巷仔口,hāng-á-kháu
後過,āu-kòe/āu-kè
怨天怨地,oàn-thiⁿ-oàn-tē/oàn-thiⁿ-oàn-tōe
拜六,pài-la̍k
拜請,pài-chhiáⁿ
按呢生,án-ne-seⁿ/án-ní-siⁿ
挕捒,hìⁿ-sak
活魚栽,hoa̍t-hî-chai/hoa̍t-hû-chai
活賣,oa̍h-bē
相𤆬,sio-chhōa
相罵本,sio-mē-pún
胃慒慒,ūi cho-cho
重本,tāng-pún
食好料,chia̍h hó-liāu
個外月,kò-gōa-goe̍h/kò-gōa-ge̍h
倒退攄,tò-thè-lu
厝邊兜,chhù-piⁿ-tau
厝邊隔壁,chhù-piⁿ-keh-piah
原性,goân-sèng
捀場,phâng-tiûⁿ
捎無摠,sa-bô-cháng
海坪,hái-phiâⁿ
烏點,o͘-tiám
疼心,thiàⁿ-sim
疼命命,thiàⁿ-miā-miā
納數,la̍p-siàu
紙敬,chóa-kèng
臭香,chhàu-hiuⁿ
草仔粿,chháu-á-kóe/chháu-á-ké
袂赴市,bē-hù-chhī/bōe-hù-chhī
袂得,bē-tit/bōe-tit
起帆,khí-phâng
起磅,khí-pōng
起戇,khí-gōng
高長,kau-chhiâng
鬥榫,tàu-sún
唸謠,liām-iâu
啉酒醉,lim-chiú-chùi
帶身人,tài-sin-lâng
徛台,khiā-tâi
捽繩,sut-chîn
接神,chih-sîn
晚冬,mńg-tang
涼的,liâng--ê
淋碭,lâm-thn̄g
淘井,tô-chéⁿ/tô-chíⁿ
深山林內,chhim-soaⁿ-nâ-lāi
淺緣,chhián-iân
猛掠,mé-lia̍h
終其尾,chiong-kî-bóe/chiong-kî-bé
透抽,thàu-thiu
通人知,thong-lâng-chai
鹿角龜,lo̍k-kak-ku
喝起喝倒,hoah-khí-hoah-tó
媠面,súi-bīn
尊存,chun-chhûn
掣一趒,chhoah chi̍t tiô
插濫,chhap-lām
棧間,chàn-keng
欹空,khia-khang
湢,pih
無天良,bô-thian-liông
無捨施,bô-siá-sì
無盤,bô-pôaⁿ
猫仔,bâ-á
琴子,khîm-jí
番薯稜,han-chî-lêng
發財仔車,hoat-châi-á-chhia
發輦,hoat-lián
睏一醒,khùn-chi̍t-chhéⁿ/khùn-chi̍t-chhíⁿ
睏中晝,khùn-tiong-tàu
短站,té-chām
短褲節仔,té-khò͘-chat-á
硩年錢,teh-nî-chîⁿ
窗仔簾,thang-á-lî
筊場,kiáu-tiûⁿ
筍龜,sún-ku
菜販仔,chhài-hoàn-á
開仔,khui-á
開聲,khui-siaⁿ
閒身,êng-sin
黃酸雨,n̂g-sng-hō͘
剾痧,khau-soa
塗州,thô͘-chiu
塗沙粉,thô͘-soa-hún
塗豆麩,thô͘-tāu-hu
塗質,thô͘-chit
塗糜,thô͘-môe/thô͘-bê
搝票,khiú-phiò
搶市,chhiúⁿ-chhī
新正年頭,sin-chiaⁿ-nî-thâu
會失禮,hōe-sit-lé/hē-sit-lé
會記得,ē-kì--tit
煙暈,ian-n̄g
煞尾仔囝,soah-bóe-á-kiáⁿ/soah-bé-á-kiáⁿ
照電光,chiò-tiān-kong
禁薰,kìm-hun
萬事通,bān-sū-thong
落人,làu-lâng
落台,lo̍h-tâi
賊仔車,chha̍t-á-chhia
跤尾紙,kha-bóe-chóa/kha-bé-chóa
跤後曲,kha-āu-khiau
跤捗,kha-pô͘
跤麻手痺,kha-bâ-chhiú-pì
路尾,lō͘-bóe/lō͘-bé
過路人,kòe-lō͘-lâng/kè-lō͘-lâng
過暝,kòe-mê/kè-mî
電火線,tiān-hóe-sòaⁿ/tiān-hé-sòaⁿ
電光片,tiān-kong-phìⁿ
電眼,tiān-gán
靴管,hia-kóng
鼎筅,tiáⁿ-chhéng
嘔酸水,áu-sng-chúi
實䈄,cha̍t-ham
實頭,cha̍t-thâu
對相,tùi-siòng
對頭親,tùi-thâu-chhin
歌詩,koa-si
滾耍笑,kún-sńg-chhiò
滾絞疼,kún-ká-thiàⁿ
漚肥,au-pûi
漚屎,àu-sái
漢學仔先,hàn-o̍h-á-sian
算會和,sǹg-ē-hô
管仔粿,kóng-á-kóe/kóng-á-ké
粿模,kóe-bô͘/ké-bô͘
綠豆膨,le̍k-tāu-phòng
網仔門,bāng-á-mn̂g
網紗油,bāng-se-iû
認命,jīn-miā/līn-miā
踅頭,se̍h-thâu
銅管仔車,tâng-kóng-á-chhia
影跡,iáⁿ-chiah
撐渡,the-tō͘
樂跎,lo̍k-tô
樓栱,lâu-kông
磅針,pōng-chiam
箭竹仔筍,chìⁿ-tek-á-sún
蔭瓜仔,ìm-koe-á
蝦笱,hê-kô
衛生箸,ōe-seng-tī/ōe-seng-tū
調羹仔,thâu-keng-á
豬血粿,ti-hoeh-kóe/tu-huih-ké
餒志,lóe-chì
擔仔,tàⁿ-á
擔罪,taⁿ-chōe
澹水地,tâm-chúi-tē/tâm-chúi-tōe
糖粿,thn̂g-kóe/thn̂g-ké
貓貓相,niau-niau-siòng
頭轉客,thâu-tńg-kheh
麭,pháng
䆀空,bái-khang
嚇嚇叫,heh-heh-kiò
戲台,hì-tâi
糞埽市仔,pùn-sò-chhī-á
總講一句,chóng-kóng--chi̍t-kù
總攬,chóng-lám
趨冰,chhu-peng
繞境,jiàu-kéng/liàu-kéng
舊漚舊臭,kū-àu-kū-chhàu
雜菜麵,cha̍p-chhài-mī
離跤手,lī-kha-chhiú
懶性,nōa-sèng
曠闊,khòng-khoah
羹飯,keⁿ-pn̄g/kiⁿ-pn̄g
藥水布,io̍h-chúi-pò͘
顛倒反,tian-tò-péng
觸纏,tak-tîⁿ
鰇魚鬚,jiû-hî-chhiu/liû-hû-chhiu
鹹水,kiâm-chúi
鹹水魚,kiâm-chúi-hî/kiâm-chúi-hû
鹹光餅,kiâm-kong-piáⁿ
鹹梅,kiâm-môe/kiâm-m̂
鹹膎,kiâm-kê/kiâm-kôe
攑頭香,gia̍h-thâu-hiuⁿ
譴損,khiàn-sńg
聽筒,thiaⁿ-tâng
罐頭開仔,koàn-thâu-khui-á
戇工,gōng-kang
鬱拗,ut-áu
鬱熱,ut-joa̍h/ut-loa̍h
𤺪雨,siān-hō͘
𫝏錢,gàn-chîⁿ
酒甜,chiú-tiⁿ
菜鹹,chhài-kiâm
羹麵,keⁿ-mī/kiⁿ-mī
山崎,soaⁿ-kiā
一疕仔,chi̍t-phí-á
一必一中,it-pit-it-tiòng
七月半,Chhit-goe̍h-pòaⁿ/Chhit-ge̍h-pòaⁿ
七晏八晏,chhit-òaⁿ-peh-òaⁿ/chhit-òaⁿ-poeh-òaⁿ
人額,lâng-gia̍h
人懸漢大,lâng-koân-hàn-tōa
入心,ji̍p-sim/li̍p-sim
刀鋩,to-mê/to-mî
力草,la̍t-chháu
三角六肩,saⁿ-kak-la̍k-keng
上尾,siōng-bóe/siōng-bé
上教,chiūⁿ-kà
上無,siōng-bô
下晝頓,ē-tàu-tǹg
久年,kú-nî
大人大種,tōa-lâng-tōa-chéng
大水柴,tōa-chúi-chhâ
大出,tōa-chhut
大出手,tōa-chhut-chhiú
大目孔,tōa-ba̍k-khóng
大百,tōa-pah
大灶,tōa-chàu
大身大命,tōa-sin-tōa-miā
大注,tōa-tù
大肥,tōa-pûi
大張的,tōa-tiuⁿ--ê
大細腎,tōa-sè-siān
大漢囝,tōa-hàn-kiáⁿ
大翻頭,tōa-hoan-thâu
大嚨喉空,tōa-nâ-âu-khang
砂馬仔,soa-bé-á
中中仔,tiong-tiong--á
中範,tiong-pān
五子直,gō͘-jí-ti̍t/gō͘-lí-ti̍t
仁仁仁,jîn-jîn-jîn/lîn-lîn-lîn
冇粟,phàⁿ-chhek
反口供,hoán-kháu-keng
反形,hoán-hêng
反種,hoán-chéng
反變,péng-pìⁿ
天公地道,thiⁿ-kong-tē-tō/thiⁿ-kong-tōe-tō
天公伯仔,Thiⁿ-kong-peh--á
天平,thian-pêng
天狗食日,thian-káu-chia̍h-ji̍t/thian-káu-chia̍h-li̍t
少年人,siàu-liân-lâng
少歲,chió-hòe/chió-hè
引𤆬,ín-chhōa
心狂火熱,sim-kông-hóe-jia̍t/sim-kông-hé-lia̍t
心花開,sim-hoe-khui
心慒慒,sim cho-cho
手爪賤,chhiú-jiáu-chiān/chhiú-niáu-chiān
手股頭,chhiú-kó͘-thâu
手後曲,chhiú-āu-khiau
手面趁食,chhiú-bīn-thàn-chia̍h
手賤,chhiú-chiān
手蹄仔,chhiú-tê-á/chhiú-tôe-á
手縫櫳,chhiú-phāng lang
月圍箍,goe̍h ûi-kho͘/ge̍h ûi-kho͘
歹日,pháiⁿ-ji̍t/phái-li̍t
歹吉兆,pháiⁿ-kiat-tiāu
歹物仔,pháiⁿ-mih-á
歹看面,pháiⁿ-khòaⁿ-bīn/phái-khòaⁿ-bīn
歹面,pháiⁿ-bīn/phái-bīn
歹面相看,pháiⁿ-bīn-sio-khòaⁿ/phái-bīn-sio-khòaⁿ
歹紡,pháiⁿ-pháng/phái-pháng
歹價,pháiⁿ-kè/phái-kè
毋成囡仔,m̄-chiâⁿ-gín-á
水尺,chúi-chhioh
水泱,chúi-iaⁿ
水租,chúi-cho͘
水脈,chúi-me̍h
水碓,chúi-tùi
水窟仔,chúi-khut-á
水鉎,chúi-sian
水濺仔,chúi-chōaⁿ-á
火母,hóe-bó/hé-bú
火車母,hóe-chhia-bó/hé-chhia-bú
火車頭,hóe-chhia-thâu/hé-chhia-thâu
火金星,hóe-kim-chheⁿ/hé-kim-chhiⁿ
火烌性,hóe-hu-sèng/hé-hu-sèng
火珠仔,hóe-chu-á/hé-chu-á
牛角𨂿仔,gû-kak-oaihⁿ-á
牛貫,gû-kǹg
牛聲馬喉,gû-siaⁿ-bé-âu
王梨酥,ông-lâi-so͘
主顧客,chú-kò͘-kheh
仝心,kāng-sim
仝沿,kāng-iân
冊局,chheh-kio̍k
冊疊仔,chheh-thiap-á
冬粉,tang-hún
出擢,chhut-tioh
半丁,pòaⁿ-teng
半奸忠,pòaⁿ-kan-tiong
半老老,pòaⁿ-ló-lāu
半遂,poàn-sūi
去倒,khì-tò
可取,khó-chhú
司公仔象桮,sai-kong-á-siūⁿ-poe
外埠頭,gōa-po͘-thâu
央倩,iang-chhiàⁿ/iong-chhiàⁿ
央教,iang-kah/iong-kah
布幼仔,pò͘-iù-á
布攄仔,pò͘-lu-á
平洋,pêⁿ-iûⁿ/pîⁿ-iûⁿ
正範,chiàⁿ-pān
生本,seⁿ-pún/siⁿ-pún
生真,chheⁿ-chin/chhiⁿ-chin
生張,seⁿ-tiuⁿ/siⁿ-tiuⁿ
生頭凊面,chheⁿ-thâu-chhìn-bīn/chhiⁿ-thâu-chhìn-bīn
白目,pe̍h-ba̍k
白虎湯,pe̍h-hó͘-thng
白菜滷,pe̍h-chhài-ló͘
白話字,Pe̍h-ōe-jī/Pe̍h-ōe-lī
目孔,ba̍k-khóng
目空赤,ba̍k-khang-chhiah
目睭遮,ba̍k-chiu-jia/ba̍k-chiu-lia
石花,chio̍h-hoe
石降,chio̍h-kàng
石磨仔心,chio̍h-bō-á-sim
交落身,ka-la̍uh-sin
交落枕,ka-la̍uh-chím
交繃,kau-peⁿ/kau-piⁿ
交纏,kau-tîⁿ
冰礤,peng-chhoah
合該,ha̍p-kai
囡仔頭王,gín-á-thâu-ông
在室的,chāi-sek--ê
在膽,chāi-táⁿ
在欉的,chāi-châng--ê
地陷,tē-hām/tōe-hām
好日,hó-ji̍t/hó-li̍t
好代,hó-tāi
好玄,hò͘ⁿ-hiân
好份,hó-hūn
好死毋死,hó-sí-m̄-sí
好看頭,hó-khòaⁿ-thâu
好唯是,hó-bî-sī
字勻,jī-ûn/lī-ûn
安太歲,an Thài-sòe
成格,chhiâⁿ-kek
收煞,siu-soah
有路無厝,ū-lō͘-bô-chhù
有賰,ū-chhun
死殗殗,sí-giān-giān
死鹹,sí-kiâm
死體,sí-thé
百百款,pah-pah-khoán
百面,pah-bīn
竹田嬰,tek-chhân-eⁿ/tek-chhân-iⁿ
竹模,tek-bô͘
竹篙厝,tek-ko-chhù
竹雞仔車,tek-ke-á-chhia/tek-koe-á-chhia
老孤𣮈,lāu-ko͘-khu̍t
肉幼仔,bah-iù-á
肉糋,bah-chìⁿ
肉繭仔,bah-kián-á
自早,chū-chá
自作自專,chū-chok-chū-choan
自家用的,chū-ka-iōng--ê
血崩山,hoeh-pang-soaⁿ/huih-pang-soaⁿ
行去,kiâⁿ--khì
行袂開跤,kiâⁿ-bē-khui-kha/kiâⁿ-bōe-khui-kha
行船人,kiâⁿ-chûn-lâng
行跤花,kiâⁿ-kha-hoe
伸捙,chhun-chhia
低路師,kē-lō͘-sai
占贏,chiàm-iâⁿ
佗落,tó-lo̍h/tá-lo̍h
佛手柑,hu̍t-chhiú-kam
冷嗽,léng-sàu
卵白質,nn̄g-pe̍h-chit
呔會,thài ē
囤貨,tún-hòe/tún-hè
囥話,khǹg-ōe
坉錢,thūn-chîⁿ
坐毋著,chhē-m̄-tio̍h
坐底,chhē-té/chhē-tóe
妝娗,chng-thāⁿ
孝尾囝,hà-bóe-kiáⁿ/hà-bé-kiáⁿ
孝男面,hàu-lâm-bīn
尾來,bóe--lâi/bé--lâi
尿滓,jiō-tái/liō-tái
忘恩背義,bōng-un-pōe-gī
李仔攕,lí-á-chhiám
汫水魚,chiáⁿ-chúi-hî/chiáⁿ-chúi-hû
牢腹,tiâu-pak
罕罕仔,hán-hán--á
育𤆬,io-chhōa
見效,kiàn-hāu
角蜂,kak-phang
豆仔魚,tāu-á-hî/tāu-á-hû
赤焱焱,chhiah-iāⁿ-iāⁿ
走水,cháu-chúi
街路,ke-lō͘/koe-lō͘
走無路,cháu-bô-lō͘
走腹,cháu-pak
走標,cháu-pio
走學,cháu-o̍h
走縒,cháu-choa̍h
辛苦病疼,sin-khó͘-pēⁿ-thiàⁿ/sin-khó͘-pīⁿ-thiàⁿ
車斗,chhia-táu
車母,chhia-bú/chhia-bó
車前草,ki-chiân-chháu/ku-chiân-chháu
車路,chhia-lō͘
到手芳,tò-chhiú-phang
到尾,kàu-bóe/kàu-bé
卸世卸眾,sià-sì-sià-chèng
呼請,ho͘-chhiáⁿ
咇噗跳,phi̍h-pho̍k-thiàu
和齊,hô-chê/hô-chôe
孤佬,ko͘-láu
孤鳥,ko͘-chiáu
孤跤手,ko͘-kha-chhiú
宕,thōng
定貨,tiāⁿ-hòe/tiāⁿ-hè
彼當陣,hit-tang-chūn
往診,óng-chín
抹烏,boah-o͘
抽懸,thiu-koân
抾肉幼仔,khioh-bah-iù-á
拄咧,tú-teh
拆白講,thiah-pe̍h-kóng
拍火,phah-hóe/phah-hé
拍速,phah-sok
拍鳥帽,phah-chiáu-bō
放目,pàng-ba̍k
放伴,pàng-phōaⁿ
放紙虎,pàng-chóa-hó͘
放送頭,hòng-sàng-thâu
放銃,pàng-chhèng
果子栽,kóe-chí-chai/ké-chí-chai
武車,bú-chhia
炊粉,chhoe-hún/chhe-hún
狀元粿,chiōng-goân-kóe/chiōng-goân-ké
狗鯊,káu-soa
直目,ti̍t-ba̍k
空思夢想,khong-su-bōng-sióng
空殼厝,khang-khak-chhù
股仔囝,kó͘-á-kiáⁿ
花眉,hoe-bî
花飛,hoe-hui
花條馬,hoe-tiâu-bé
花蛤仔,hoe-kap-á
金光黨,kim-kong-tóng
金金相,kim-kim-siòng
金絲猴,kim-si-kâu
金鑠鑠,kim-siak-siak
長志,chiáng-chì
長篙形,tn̂g-ko-hêng
門口埕,mn̂g-kháu-tiâⁿ
文光尺,bûn-kong-chhioh
門後臼,mn̂g-āu-khū
𤆬領,chhōa-niá
𨑨迌印仔,chhit-thô-ìn-á/thit-thô-ìn-á
侵門踏戶,chhim-mn̂g-ta̍h-hō͘
俗麭,sio̍k-pháng
保領,pó-niá
南北二路,lâm-pak-jī-lō͘/lâm-pak-lī-lō͘
咬舌,kā-chi̍h
咱人,lán-lâng
品並,phín-phēng
客滿,kheh-boán
封頭壁,hong-thâu-piah
屎面,sái-bīn
巷仔內的,hāng-á-lāi--ê
後壁山,āu-piah-soaⁿ
後謝,āu-siā
硩墓紙,teh-bōng-chóa
指甲眉,chéng-kah-bâi
指模,chí-bô͘
挑花刺繡,thio-hoe-chhiah-siù
是講,sī-kóng
枵飢失頓,iau-ki-sit-tǹg
枵過飢,iau-kòe-ki
枵燥,iau-sò
柝仔頭,kho̍k-á-thâu
查某囝日,cha-bó͘-kiáⁿ-ji̍t/cha-bó͘-kiáⁿ-li̍t
柿霜,khī-sng
流汗流洘,lâu-kōaⁿ-lâu-khó
為非糝做,ûi-hui-sám-chò
相伨,sio-thīn
相揣,sio-chhōe
看口,khòaⁿ-kháu
看命,khòaⁿ-miā
看破跤手,khòaⁿ-phòa-kha-chhiú
看袂上目,khòaⁿ-bē-chiūⁿ-ba̍k/khòaⁿ-bōe-chiūⁿ-ba̍k
突顯,tu̍t-hián
紀年,khí-nî
紅霞,âng-hê
美國仙丹,Bí-kok-sian-tan
美國時間,Bí-kok-sî-kan
美國塗豆,Bí-kok-thô͘-tāu
背骨,pōe-kut
苦瓜封,khó͘-koe-hong
苦花,khó͘-hoe
苦齣,khó͘-chhut
迫促,pek-chhek/pek-chhiok
郊,kau
限時批,hān-sî-phoe/hān-sî-phe
面冊,Bīn-chheh
面腔,bīn-chhiuⁿ
面漚面臭,bīn-àu-bīn-chhàu
面模,bīn-bô͘
風雷,hong-lûi
食人夠夠,chia̍h-lâng-kàu-kàu
食老出癖,chia̍h-lāu-chhut-phia̍h
食重鹹,chia̍h-tāng-kiâm
食風,chia̍h-hong
食茶,chia̍h-tê
食罪,chia̍h-chōe
食認,chia̍h-jīn/chia̍h-līn
食銅食鐵,chia̍h-tâng-chia̍h-thih
食餐廳,chia̍h-chhan-thiaⁿ
食聲,chia̍h-siaⁿ
香櫞瓜,hiuⁿ-îⁿ-koe
倒吊子,tò-tiàu-chí
倒拗,tò-áu
倒頭槌,tò-thâu-thûi
倒轉去,tò-tńg--khì
倚意,óa-ì
倚蹛,óa-tòa
凌勒,lêng-lek
厝尾頂,chhù-bóe-téng/chhù-bé-téng
厝場,chhù-tiûⁿ
原全,goân-choân
哪通,ná-thang
哽胿,kéⁿ-kui/kíⁿ-kui
套頭話,thò-thâu-ōe
師仔工,sai-á-kang
挨磨,e-bō/oe-bō
挩鍊仔,thoah-liān-á
挽瓜揫藤,bán-koe-chhiû-tîn
挽筋,bán-kin/bán-kun
捙倒,chhia-tó
料小,liāu-siáu
時計果,sî-kè-kó
柴目,chhâ-ba̍k
柴箍,chhâ-kho͘
梳妝打扮,se-chng-táⁿ-pān/soe-chng-táⁿ-pān
氣掣掣,khì-chhoah-chhoah
氣暢忍,khì-thiòng-lún
消敨,siau-tháu
烏子仔菜,o͘-chí-á-chhài
烏白切,o͘-pe̍h-chhiat
烏尾冬,o͘-bóe-tang/o͘-bé-tang
烏面賊,o͘-bīn-chha̍t
烏鉎,o͘-sian
珠仔龜,chu-á-ku
病母,pēⁿ-bó/pīⁿ-bú
病囝,pēⁿ-kiáⁿ/pīⁿ-kiáⁿ
眩車丹,hîn-chhia-tan
破功,phò-kong
破豆,phò-tāu
破鼎,phòa-tiáⁿ
祖公仔產,chó͘-kong-á-sán
笑微微,chhiò-bi-bi
笑詼齣,chhiò-khoe-chhut/chhiò-khe-chhut
納錢,la̍p-chîⁿ
罟寮,ko͘-liâu
臭油餲,chhàu-iû-ai
茫茫渺渺,bông-bông-biáu-biáu
